match_id,queue_id,game_duration_sec,game_creation,summoner_name,puuid,team_id,win,champion_name,role,lane,kills,deaths,assists,total_minions_killed,neutral_minions_killed,gold_earned,damage_to_champions,vision_score,kda,cs,game_minutes,cs_per_min,team_kills,team_gold,team_damage_to_champions,team_vision_score,kill_participation,damage_share,gold_share,vision_per_min,z_damage_share,z_kill_participation,z_cs_per_min,z_vision_per_min,impact_score,impact_rank_on_team,p_win_10min,bucket
NA1_5445439464,420,1805,1766530766536,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Heimerdinger,TOP,JUNGLE,5,5,3,221,0,13456,36045,22,1.6,221,30.083333333333332,7.346260387811634,28,54529,120602,138,0.2857142857142857,0.2988756405366412,0.2467677749454419,0.7313019390581718,0.6394637189303323,-0.4777231813327554,0.9686995150860168,1.0680181258207937,0.4294720385793732,1.0,0.8452863338743819,UNLUCKY LOSS (high exp)
NA1_5447465814,420,1528,1766730136461,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Ekko,MIDDLE,MIDDLE,5,4,3,143,0,10236,18715,12,2.0,143,25.466666666666665,5.615183246073299,18,45305,65963,102,0.4444444444444444,0.2837196610220881,0.2259353272265754,0.4712041884816754,0.6449005609201456,0.1447828199825982,-0.1212396162478611,-0.6010678132659114,0.178733356928274,3.0,0.2367538205593382,NORMAL
NA1_5451700069,420,1590,1767155525794,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Sett,TOP,TOP,3,5,9,170,0,11747,23512,12,2.4,170,26.5,6.415094339622642,48,58777,114609,126,0.25,0.2051496828346814,0.199857086955782,0.4528301886792453,-0.3997205654297018,-0.6743390588359172,0.3392526421100631,-0.2341304900348114,-0.2808038040271362,5.0,0.8388866872491024,NORMAL
NA1_5451312944,420,1384,1767129433803,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,MIDDLE,MIDDLE,15,4,6,162,0,13405,30152,12,5.25,162,23.066666666666663,7.023121387283237,49,56244,108374,84,0.4285714285714285,0.2782217136951667,0.2383365336747031,0.5202312138728324,0.5817429260302679,0.0514635058830474,0.9698577099899718,-0.3996620745790342,0.4215472959150975,1.0,0.8044303479768715,NORMAL
NA1_5451336236,420,1834,1767131422537,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Ekko,MIDDLE,MIDDLE,5,6,4,203,0,10786,22888,20,1.5,203,30.566666666666663,6.641221374045801,20,51751,99922,150,0.45,0.2290586657592922,0.2084210933122065,0.6543075245365323,0.0169827260910358,0.1774445799174411,0.6739000459867303,0.1511308436979194,0.2427654239735694,3.0,0.122420317155441,NORMAL
NA1_5452074766,420,2063,1767204724074,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Ekko,MIDDLE,MIDDLE,3,9,4,202,0,13004,22238,28,0.7777777777777778,202,34.38333333333333,5.874939408628212,23,65053,107257,133,0.3043478260869565,0.2073337870721724,0.1998985442639078,0.814348036839554,-0.2325816794152458,-0.6788615609829998,0.0800613117843205,0.808586141934924,-0.1841881139506634,5.0,0.4342004849085966,NORMAL
NA1_5452257761,420,1862,1767221675424,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,JUNGLE,JUNGLE,13,1,11,70,156,16649,23188,36,24.0,226,31.033333333333335,7.282491944146079,43,69606,142759,188,0.5581395348837209,0.1624275877527861,0.2391891503606011,1.1600429645542427,-0.1352394315081775,0.4426692165192076,1.1509168021930898,1.8207629404898913,0.5552724585251617,2.0,0.7156307005934992,NORMAL
NA1_5447858194,420,2560,1766786690286,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Ekko,JUNGLE,JUNGLE,8,10,7,113,151,17967,27479,34,1.5,264,42.666666666666664,6.1875,49,90918,196934,169,0.3061224489795918,0.1395340570952705,0.1976176334719197,0.796875,-0.469575367256556,-0.874428017501609,0.3362952830110745,0.4699807804209445,-0.2956078849954142,4.0,0.5820585699190217,NORMAL
NA1_5447424378,420,2297,1766727497165,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Ekko,MIDDLE,MIDDLE,9,9,4,245,8,16588,28519,27,1.4444444444444444,253,38.28333333333333,6.608619939050937,24,69345,114558,178,0.5416666666666666,0.2489481310777073,0.239209748359651,0.7052677405311276,0.2454628322179777,0.716363618842345,0.6486352012373406,0.3604782365724938,0.4990277008955802,2.0,0.2360043671176689,NORMAL
NA1_5443884161,420,1844,1766367183277,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,JUNGLE,JUNGLE,12,6,11,61,129,15158,34434,29,3.8333333333333335,190,30.733333333333334,6.182212581344902,41,64282,156164,137,0.5609756097560976,0.220498962629031,0.2358047353847111,0.9436008676789588,0.712831918861297,0.457491173357897,0.3323616969784153,1.0157191269313293,0.5714008605465598,1.0,0.3525388744259117,NORMAL
NA1_5450518048,420,1938,1767048976499,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,MIDDLE,MIDDLE,6,7,8,167,4,12579,26614,21,2.0,171,32.3,5.294117647058824,49,76950,149163,192,0.2857142857142857,0.178422262893613,0.1634697855750487,0.65015479876161,-0.5647026292173936,-0.7884103210129068,-0.3700529741490771,0.1340712159601713,-0.513275138471212,5.0,0.6488154718791577,NORMAL
